n 	k 	lambda 	hold out error 	training error	test error
2	2	37.50835519	15.81318274	20.84132675	7.638036671
2	5	27.16059684	9.309518236	20.73216632	7.642409294
2	10	72.06928969	6.277457113	21.22318832	7.681196174
2	80	279.5868225	1.472321556	22.86293227	8.165534157
5	2	-0.090528358	13.7846635	12.86235665	5.882519679
5	5	0.215317789	6.513178816	12.90155413	5.988739877
5	10	0.277836637	4.561297505	12.93121365	6.011568337
5	80	1.054889038	1.1359957	13.4787046	6.295447927
10	2	0	2.60E-09	4.55E-09	2.37E-09
10	5	0	1.09E-09	4.55E-09	2.37E-09
10	10	0	7.59E-10	4.55E-09	2.37E-09
10	80	0	2.52E-10	4.55E-09	2.37E-09
20	2	0	0.185252019	0.154190274	0.07944192
20	5	0	0.05777881	0.154190274	0.07944192
20	10	0	0.061995267	0.154190274	0.07944192
20	80	0	0.0212628	0.154190274	0.07944192
